Name,Price
Acidic Slime,$0.29
Acidic Slime,$3.99
Acolyte of Xathrid,$0.29
Acolyte of Xathrid,$0.39
Act of Treason,$0.29
Act of Treason,$0.39
Air Elemental,$0.29
Air Elemental,$0.39
Ajani Goldmane,$3.85
Ajani Goldmane,$12.99
Alluring Siren,$0.29
Alluring Siren,$0.39
Angel's Feather,$0.29
Angel's Feather,$0.49
Angel's Mercy,$0.29
Angel's Mercy,$0.49
Ant Queen,$0.85
Ant Queen,$3.99
Armored Ascension,$0.29
Armored Ascension,$2.39
Assassinate,$0.29
Assassinate,$0.39
Awakener Druid,$0.29
Awakener Druid,$0.39
